T_e[eV],n_e[m^-3],Sion[m^-3 s^-1]
0.750000,1.00000e+18,9.91185e-23
0.803639,1.00000e+18,3.38476e-22
0.861115,1.00000e+18,1.06385e-21
0.922702,1.00000e+18,3.09419e-21
0.988693,1.00000e+18,8.37246e-21
1.05940,1.00000e+18,2.11906e-20
1.13517,1.00000e+18,5.04369e-20
1.21636,1.00000e+18,1.13502e-19
1.30335,1.00000e+18,2.42796e-19
1.39657,1.00000e+18,4.96353e-19
1.49645,1.00000e+18,9.74043e-19
1.60347,1.00000e+18,1.83869e-18
1.71815,1.00000e+18,3.34470e-18
1.84103,1.00000e+18,5.87331e-18
1.97270,1.00000e+18,9.97363e-18
2.11379,1.00000e+18,1.64073e-17
2.26496,1.00000e+18,2.61942e-17
2.42695,1.00000e+18,4.06549e-17
2.60053,1.00000e+18,6.14523e-17
2.78651,1.00000e+18,9.06230e-17
2.98580,1.00000e+18,1.30596e-16
3.19935,1.00000e+18,1.84158e-16
3.42816,1.00000e+18,2.54427e-16
3.67334,1.00000e+18,3.44827e-16
3.93606,1.00000e+18,4.59047e-16
4.21756,1.00000e+18,6.01001e-16
4.51920,1.00000e+18,7.74836e-16
4.84241,1.00000e+18,9.84947e-16
5.18873,1.00000e+18,1.23602e-15
5.55983,1.00000e+18,1.53324e-15
5.95746,1.00000e+18,1.88196e-15
6.38354,1.00000e+18,2.28672e-15
6.84008,1.00000e+18,2.75132e-15
7.32928,1.00000e+18,3.27889e-15
7.85346,1.00000e+18,3.87160e-15
8.41514,1.00000e+18,4.53070e-15
9.01698,1.00000e+18,5.25626e-15
9.66187,1.00000e+18,6.04720e-15
10.3529,1.00000e+18,6.90122e-15
11.0933,1.00000e+18,7.81474e-15
11.8867,1.00000e+18,8.78336e-15
12.7368,1.00000e+18,9.80188e-15
13.6478,1.00000e+18,1.08647e-14
14.6238,1.00000e+18,1.19655e-14
15.6697,1.00000e+18,1.30980e-14
16.7904,1.00000e+18,1.42560e-14
17.9912,1.00000e+18,1.54333e-14
19.2780,1.00000e+18,1.66240e-14
20.6567,1.00000e+18,1.78233e-14
22.1341,1.00000e+18,1.90269e-14
23.7171,1.00000e+18,2.02306e-14
25.4133,1.00000e+18,2.14278e-14
27.2309,1.00000e+18,2.26119e-14
29.1784,1.00000e+18,2.37759e-14
31.2652,1.00000e+18,2.49137e-14
33.5013,1.00000e+18,2.60192e-14
35.8973,1.00000e+18,2.70870e-14
38.4646,1.00000e+18,2.81123e-14
41.2156,1.00000e+18,2.90906e-14
44.1633,1.00000e+18,3.00187e-14
47.3218,1.00000e+18,3.08930e-14
50.7062,1.00000e+18,3.17104e-14
54.3327,1.00000e+18,3.24684e-14
58.2185,1.00000e+18,3.31649e-14
62.3823,1.00000e+18,3.37981e-14
66.8438,1.00000e+18,3.43674e-14
71.6244,1.00000e+18,3.48723e-14
76.7470,1.00000e+18,3.53129e-14
82.2359,1.00000e+18,3.56902e-14
88.1173,1.00000e+18,3.60053e-14
94.4194,1.00000e+18,3.62600e-14
101.172,1.00000e+18,3.64546e-14
108.408,1.00000e+18,3.65899e-14
116.161,1.00000e+18,3.66675e-14
124.469,1.00000e+18,3.66883e-14
133.371,1.00000e+18,3.66546e-14
142.910,1.00000e+18,3.65680e-14
153.130,1.00000e+18,3.64308e-14
164.082,1.00000e+18,3.62454e-14
175.817,1.00000e+18,3.60143e-14
188.392,1.00000e+18,3.57401e-14
201.865,1.00000e+18,3.54257e-14
216.302,1.00000e+18,3.50740e-14
231.772,1.00000e+18,3.46875e-14
248.348,1.00000e+18,3.42696e-14
266.110,1.00000e+18,3.38229e-14
285.142,1.00000e+18,3.33507e-14
305.535,1.00000e+18,3.28555e-14
327.387,1.00000e+18,3.23403e-14
350.801,1.00000e+18,3.18078e-14
375.890,1.00000e+18,3.12608e-14
402.774,1.00000e+18,3.07017e-14
431.580,1.00000e+18,3.01332e-14
462.446,1.00000e+18,2.95575e-14
495.520,1.00000e+18,2.89769e-14
530.959,1.00000e+18,2.83936e-14
568.933,1.00000e+18,2.78096e-14
609.623,1.00000e+18,2.72268e-14
653.223,1.00000e+18,2.66468e-14
699.941,1.00000e+18,2.60715e-14
750.000,1.00000e+18,2.55021e-14
0.750000,1.04713e+18,1.00211e-22
0.803639,1.04713e+18,3.42038e-22
0.861115,1.04713e+18,1.07452e-21
0.922702,1.04713e+18,3.12376e-21
0.988693,1.04713e+18,8.44869e-21
1.05940,1.04713e+18,2.13742e-20
1.13517,1.04713e+18,5.08515e-20
1.21636,1.04713e+18,1.14385e-19
1.30335,1.04713e+18,2.44580e-19
1.39657,1.04713e+18,4.99790e-19
1.49645,1.04713e+18,9.80365e-19
1.60347,1.04713e+18,1.84985e-18
1.71815,1.04713e+18,3.36362e-18
1.84103,1.04713e+18,5.90420e-18
1.97270,1.04713e+18,1.00224e-17
2.11379,1.04713e+18,1.64818e-17
2.26496,1.04713e+18,2.63048e-17
2.42695,1.04713e+18,4.08154e-17
2.60053,1.04713e+18,6.16804e-17
2.78651,1.04713e+18,9.09423e-17
2.98580,1.04713e+18,1.31038e-16
3.19935,1.04713e+18,1.84763e-16
3.42816,1.04713e+18,2.55250e-16
3.67334,1.04713e+18,3.45931e-16
3.93606,1.04713e+18,4.60510e-16
4.21756,1.04713e+18,6.02916e-16
4.51920,1.04713e+18,7.77305e-16
4.84241,1.04713e+18,9.88074e-16
5.18873,1.04713e+18,1.23994e-15
5.55983,1.04713e+18,1.53802e-15
5.95746,1.04713e+18,1.88771e-15
6.38354,1.04713e+18,2.29350e-15
6.84008,1.04713e+18,2.75918e-15
7.32928,1.04713e+18,3.28782e-15
7.85346,1.04713e+18,3.88166e-15
8.41514,1.04713e+18,4.54182e-15
9.01698,1.04713e+18,5.26845e-15
9.66187,1.04713e+18,6.06036e-15
10.3529,1.04713e+18,6.91534e-15
11.0933,1.04713e+18,7.82986e-15
11.8867,1.04713e+18,8.79939e-15
12.7368,1.04713e+18,9.81890e-15
13.6478,1.04713e+18,1.08827e-14
14.6238,1.04713e+18,1.19846e-14
15.6697,1.04713e+18,1.31182e-14
16.7904,1.04713e+18,1.42773e-14
17.9912,1.04713e+18,1.54557e-14
19.2780,1.04713e+18,1.66477e-14
20.6567,1.04713e+18,1.78482e-14
22.1341,1.04713e+18,1.90528e-14
23.7171,1.04713e+18,2.02576e-14
25.4133,1.04713e+18,2.14560e-14
27.2309,1.04713e+18,2.26410e-14
29.1784,1.04713e+18,2.38061e-14
31.2652,1.04713e+18,2.49447e-14
33.5013,1.04713e+18,2.60512e-14
35.8973,1.04713e+18,2.71197e-14
38.4646,1.04713e+18,2.81454e-14
41.2156,1.04713e+18,2.91241e-14
44.1633,1.04713e+18,3.00522e-14
47.3218,1.04713e+18,3.09264e-14
50.7062,1.04713e+18,3.17437e-14
54.3327,1.04713e+18,3.25013e-14
58.2185,1.04713e+18,3.31973e-14
62.3823,1.04713e+18,3.38301e-14
66.8438,1.04713e+18,3.43988e-14
71.6244,1.04713e+18,3.49035e-14
76.7470,1.04713e+18,3.53440e-14
82.2359,1.04713e+18,3.57214e-14
88.1173,1.04713e+18,3.60370e-14
94.4194,1.04713e+18,3.62921e-14
101.172,1.04713e+18,3.64876e-14
108.408,1.04713e+18,3.66243e-14
116.161,1.04713e+18,3.67032e-14
124.469,1.04713e+18,3.67257e-14
133.371,1.04713e+18,3.66938e-14
142.910,1.04713e+18,3.66089e-14
153.130,1.04713e+18,3.64736e-14
164.082,1.04713e+18,3.62900e-14
175.817,1.04713e+18,3.60605e-14
188.392,1.04713e+18,3.57880e-14
201.865,1.04713e+18,3.54750e-14
216.302,1.04713e+18,3.51244e-14
231.772,1.04713e+18,3.47391e-14
248.348,1.04713e+18,3.43220e-14
266.110,1.04713e+18,3.38757e-14
285.142,1.04713e+18,3.34035e-14
305.535,1.04713e+18,3.29080e-14
327.387,1.04713e+18,3.23921e-14
350.801,1.04713e+18,3.18587e-14
375.890,1.04713e+18,3.13101e-14
402.774,1.04713e+18,3.07492e-14
431.580,1.04713e+18,3.01783e-14
462.446,1.04713e+18,2.95999e-14
495.520,1.04713e+18,2.90161e-14
530.959,1.04713e+18,2.84293e-14
568.933,1.04713e+18,2.78412e-14
609.623,1.04713e+18,2.72539e-14
653.223,1.04713e+18,2.66690e-14
699.941,1.04713e+18,2.60885e-14
750.000,1.04713e+18,2.55134e-14
0.750000,1.09648e+18,1.01330e-22
0.803639,1.09648e+18,3.45685e-22
0.861115,1.09648e+18,1.08545e-21
0.922702,1.09648e+18,3.15405e-21
0.988693,1.09648e+18,8.52672e-21
1.05940,1.09648e+18,2.15616e-20
1.13517,1.09648e+18,5.12752e-20
1.21636,1.09648e+18,1.15287e-19
1.30335,1.09648e+18,2.46401e-19
1.39657,1.09648e+18,5.03291e-19
1.49645,1.09648e+18,9.86800e-19
1.60347,1.09648e+18,1.86119e-18
